"","level","Overall","0","1","p","test"
"n","","  5013","  4594","   419","",""
"RIDAGEYR..mean..SD..",""," 40.16 (11.47)"," 39.67 (11.40)"," 45.45 (10.98)","<0.001",""
"RIAGENDR....","1","  2339 (46.7) ","  2148 (46.8) ","   191 (45.6) "," 0.682",""
"X","2","  2674 (53.3) ","  2446 (53.2) ","   228 (54.4) ","",""
"BMXBMI..mean..SD..",""," 28.54 (6.72)"," 28.01 (6.36)"," 34.38 (7.73)","<0.001",""
"DMDEDUC2....","1","   862 (17.2) ","   738 (16.1) ","   124 (29.6) ","<0.001",""
"X.1","2","  1111 (22.2) ","  1006 (21.9) ","   105 (25.1) ","",""
"X.2","3","  3040 (60.6) ","  2850 (62.0) ","   190 (45.3) ","",""
"DMDMARTL....","1","  2364 (47.2) ","  2140 (46.6) ","   224 (53.5) "," 0.002",""
"X.3","2","  1250 (24.9) ","  1174 (25.6) ","    76 (18.1) ","",""
"X.4","3","  1399 (27.9) ","  1280 (27.9) ","   119 (28.4) ","",""
"INDFMPIR..mean..SD..","","  2.51 (1.65)","  2.53 (1.66)","  2.25 (1.60)"," 0.001",""
"ALQ....","0","   944 (18.8) ","   832 (18.1) ","   112 (26.7) ","<0.001",""
"X.5","1","  4069 (81.2) ","  3762 (81.9) ","   307 (73.3) ","",""
"SMQ020....","1","  2730 (54.5) ","  2491 (54.2) ","   239 (57.0) "," 0.290",""
"X.6","2","  2283 (45.5) ","  2103 (45.8) ","   180 (43.0) ","",""
"PAD680..mean..SD..","","367.57 (205.28)","368.69 (204.36)","355.21 (215.05)"," 0.198",""
"DIQ010....","1","   367 ( 7.3) ","   293 ( 6.4) ","    74 (17.7) ","<0.001",""
"X.7","2","  4646 (92.7) ","  4301 (93.6) ","   345 (82.3) ","",""
"BPQ020....","1","  1201 (24.0) ","  1058 (23.0) ","   143 (34.1) ","<0.001",""
"X.8","2","  3812 (76.0) ","  3536 (77.0) ","   276 (65.9) ","",""
